step,avg_reward,best_reward,episodes_completed,policy_loss,value_loss,entropy,kl,test_reward_0,test_reward_1,test_reward_2,test_reward_3,test_reward_4,test_avg_reward,test_std_reward
1000,0.0,0.0,0,-0.0042220769369123445,0.7976691350466873,2.073589331337384,0.003983514785691763,,,,,,,
2000,196.0,196.0,1,-0.0016459896604439045,0.6337352371774614,2.066757706659181,0.0014680592338111506,,,,,,,
3000,217.5,217.5,2,-0.003063125800898498,0.8180717589691214,2.0626926102808545,0.0030158650775514878,,,,,,,
4000,217.5,217.5,2,-0.003062692405364942,0.7369810485646927,2.055340287940843,0.0026509953035461615,,,,,,,
5000,217.5,217.5,2,-0.002367564428173604,0.579545279490828,2.0508676128728047,0.0005212226571010044,,,,,,,
6000,217.5,217.5,2,-0.0036801671911754446,0.7924436288220542,2.035009245787348,0.0022290229768649234,,,,,,,
7000,315.0,315.0,3,-0.0018601499936526775,0.585923768779529,2.0289861485362053,0.001386813138976452,,,,,,,
8000,315.0,315.0,3,-0.0010912648535200528,0.978611236172063,2.0213688548122133,0.0007860597886195007,,,,,,,
9000,318.0,318.0,4,-0.0021038119375589304,0.8961346237920225,2.019110945718629,0.0014359413760303141,,,,,,,
10000,300.0,318.0,5,-0.0014940215125014739,0.9494663466300283,2.016130695385592,0.0009418069097851653,,,,,,,
11000,280.5,318.0,6,-0.0012285467235934838,0.7105673382590924,2.0121644171220914,0.001117001743101095,,,,,,,
12000,280.5,318.0,6,-0.0007866656586494562,0.8145332985025432,2.013944385307176,0.0006550705297740933,,,,,,,
13000,280.5,318.0,6,-0.0017777137992587605,0.9035646657326392,2.0113273497138704,0.0011141770743766496,,,,,,,
14000,313.85714285714283,318.0,7,-0.0011073747726706123,0.8632906795080219,1.9988632744976453,0.0007807743724177792,,,,,,,
15000,313.85714285714283,318.0,7,-0.0004519744574541359,0.8057861636791911,1.9892512985638209,0.0007071331848627389,,,,,,,
16000,313.85714285714283,318.0,7,-0.0004874038859270513,0.8912708267037358,1.9822864404746465,-5.901433745845809e-05,,,,,,,
